machine_id,machine_type,timestamp,temperature_c,vibration_mm_s,runtime_hours,days_since_maintenance,failed_within_7d
M001,CNC_MILL,2025-05-06,55.7,2.241,6393.6,18,0
M001,CNC_MILL,2025-05-07,49.81,2.433,6405.7,19,0
M001,CNC_MILL,2025-05-08,55.6,1.349,6422.7,20,0
M001,CNC_MILL,2025-05-09,49.89,1.983,6435.1,21,0
M001,CNC_MILL,2025-05-10,50.43,2.362,6444.0,22,0
M001,CNC_MILL,2025-05-11,54.63,1.977,6451.8,23,0
M001,CNC_MILL,2025-05-12,51.7,2.146,6462.7,24,0
M001,CNC_MILL,2025-05-13,55.13,2.322,6482.3,25,0
M001,CNC_MILL,2025-05-14,52.55,1.832,6489.5,0,0
M001,CNC_MILL,2025-05-15,48.56,2.154,6508.1,1,0
M001,CNC_MILL,2025-05-16,60.89,2.011,6514.6,2,0
M001,CNC_MILL,2025-05-17,52.9,2.064,6532.8,3,0
M001,CNC_MILL,2025-05-18,54.66,1.934,6550.1,4,0
M001,CNC_MILL,2025-05-19,55.53,2.011,6563.6,5,0
M001,CNC_MILL,2025-05-20,50.45,2.41,6576.1,6,0
M001,CNC_MILL,2025-05-21,56.2,1.765,6593.9,7,0
M001,CNC_MILL,2025-05-22,52.08,2.024,6606.2,8,0
M001,CNC_MILL,2025-05-23,52.39,1.932,6622.5,9,0
M001,CNC_MILL,2025-05-24,58.57,2.067,6629.8,10,0
M001,CNC_MILL,2025-05-25,52.89,1.642,6642.4,11,0
M001,CNC_MILL,2025-05-26,54.98,2.444,6649.6,12,0
M001,CNC_MILL,2025-05-27,56.2,2.494,6663.8,13,0
M001,CNC_MILL,2025-05-28,53.84,1.799,6674.9,14,0
M001,CNC_MILL,2025-05-29,54.97,1.509,6685.6,15,0
M001,CNC_MILL,2025-05-30,54.38,1.317,6703.5,16,0
M001,CNC_MILL,2025-05-31,55.15,1.751,6715.2,17,0
M001,CNC_MILL,2025-06-01,57.39,2.044,6721.3,18,0
M001,CNC_MILL,2025-06-02,60.39,1.978,6738.8,19,0
M001,CNC_MILL,2025-06-03,61.13,2.486,6748.7,20,0
M001,CNC_MILL,2025-06-04,52.27,2.192,6765.0,21,0
M001,CNC_MILL,2025-06-05,55.78,1.729,6775.0,22,0
M001,CNC_MILL,2025-06-06,57.29,2.003,6785.5,23,0
M001,CNC_MILL,2025-06-07,54.55,1.878,6793.4,24,0
M001,CNC_MILL,2025-06-08,53.19,2.228,6809.0,25,0
M001,CNC_MILL,2025-06-09,54.78,1.693,6823.4,26,0
M001,CNC_MILL,2025-06-10,56.73,1.939,6841.1,27,0
M001,CNC_MILL,2025-06-11,57.05,1.957,6860.9,0,0
M001,CNC_MILL,2025-06-12,56.46,2.474,6878.7,1,0
M001,CNC_MILL,2025-06-13,56.6,2.209,6895.9,2,0
M001,CNC_MILL,2025-06-14,56.18,1.874,6911.2,3,0
M001,CNC_MILL,2025-06-15,57.46,1.488,6926.8,4,0
M001,CNC_MILL,2025-06-16,48.89,1.698,6939.3,5,0
M001,CNC_MILL,2025-06-17,48.02,2.453,6953.4,6,0
M001,CNC_MILL,2025-06-18,54.28,2.247,6967.0,7,0
M001,CNC_MILL,2025-06-19,55.73,1.541,6979.0,8,0
M001,CNC_MILL,2025-06-20,50.56,2.343,6987.0,9,0
M001,CNC_MILL,2025-06-21,54.96,2.316,7003.3,10,0
M001,CNC_MILL,2025-06-22,57.91,2.216,7011.3,11,0
M001,CNC_MILL,2025-06-23,59.53,2.121,7029.6,12,0
M001,CNC_MILL,2025-06-24,55.26,1.716,7040.9,13,0
M001,CNC_MILL,2025-06-25,54.19,1.706,7058.1,14,0
M001,CNC_MILL,2025-06-26,47.28,1.884,7074.9,15,0
M001,CNC_MILL,2025-06-27,56.24,2.563,7084.4,16,0
M001,CNC_MILL,2025-06-28,51.47,1.796,7096.3,17,0
M001,CNC_MILL,2025-06-29,57.29,2.064,7104.3,18,0
M002,CONVEYOR,2025-01-01,40.22,1.345,597.2,11,0
M002,CONVEYOR,2025-01-02,38.42,1.294,611.3,12,0
M002,CONVEYOR,2025-01-03,43.19,1.098,630.4,13,0
M002,CONVEYOR,2025-01-04,38.02,1.175,650.2,14,0
M002,CONVEYOR,2025-01-05,40.84,1.122,660.8,15,0
M002,CONVEYOR,2025-01-06,36.62,1.506,667.6,16,0
M002,CONVEYOR,2025-01-07,41.23,1.074,682.1,17,0
M002,CONVEYOR,2025-01-08,41.7,0.736,700.9,18,0
M002,CONVEYOR,2025-01-09,36.89,0.643,719.8,19,0
M002,CONVEYOR,2025-01-10,40.94,0.894,728.1,20,0
M002,CONVEYOR,2025-01-11,42.16,0.831,743.0,21,0
M002,CONVEYOR,2025-01-12,37.97,1.303,762.4,22,0
M002,CONVEYOR,2025-01-13,42.21,1.235,775.9,23,0
M002,CONVEYOR,2025-01-14,45.15,1.212,782.8,24,0
M002,CONVEYOR,2025-01-15,40.4,1.171,791.7,25,0
M002,CONVEYOR,2025-01-16,39.93,1.091,805.6,26,0
M002,CONVEYOR,2025-01-17,42.08,1.0,819.0,27,0
M002,CONVEYOR,2025-01-18,42.49,0.785,827.2,0,0
M002,CONVEYOR,2025-01-19,38.86,1.156,843.7,1,0
M002,CONVEYOR,2025-01-20,41.67,0.935,855.5,2,0
M002,CONVEYOR,2025-01-21,39.49,1.405,869.2,3,0
M002,CONVEYOR,2025-01-22,41.44,0.974,875.5,4,0
M002,CONVEYOR,2025-01-23,41.93,1.235,889.2,5,0
M002,CONVEYOR,2025-01-24,39.52,1.125,905.4,6,0
M002,CONVEYOR,2025-01-25,39.28,1.432,920.7,7,0
M002,CONVEYOR,2025-01-26,41.19,1.138,926.9,8,0
M002,CONVEYOR,2025-01-27,41.38,1.293,934.6,9,0
M002,CONVEYOR,2025-01-28,36.66,1.553,953.1,10,0
M002,CONVEYOR,2025-01-29,37.0,1.428,970.7,11,0
M002,CONVEYOR,2025-01-30,36.89,1.321,985.4,12,0
M002,CONVEYOR,2025-01-31,38.75,1.45,1003.5,13,0
M002,CONVEYOR,2025-02-01,41.94,1.194,1020.7,14,0
M002,CONVEYOR,2025-02-02,44.56,0.643,1037.0,15,0
M002,CONVEYOR,2025-02-03,37.3,1.349,1045.0,16,0
M002,CONVEYOR,2025-02-04,37.91,1.156,1063.6,17,0
M002,CONVEYOR,2025-02-05,36.74,1.31,1077.4,18,0
M002,CONVEYOR,2025-02-06,39.06,1.305,1083.5,19,0
M002,CONVEYOR,2025-02-07,38.19,1.369,1098.4,20,0
M002,CONVEYOR,2025-02-08,42.37,1.251,1110.0,21,0
M002,CONVEYOR,2025-02-09,39.3,1.24,1124.5,22,0
M002,CONVEYOR,2025-02-10,38.15,0.93,1140.5,23,0
M002,CONVEYOR,2025-02-11,41.08,1.227,1152.1,24,0
M002,CONVEYOR,2025-02-12,36.49,1.175,1165.7,25,0
M002,CONVEYOR,2025-02-13,38.85,1.224,1178.6,26,0
M002,CONVEYOR,2025-02-14,40.75,0.99,1191.2,27,0
M002,CONVEYOR,2025-02-15,40.36,1.133,1204.2,28,0
M002,CONVEYOR,2025-02-16,38.11,1.661,1211.2,29,0
M002,CONVEYOR,2025-02-17,41.26,1.395,1221.1,0,0
M002,CONVEYOR,2025-02-18,39.38,1.068,1238.4,1,0
M002,CONVEYOR,2025-02-19,37.36,1.155,1251.9,2,0
M002,CONVEYOR,2025-02-20,41.63,1.324,1267.2,3,0
M002,CONVEYOR,2025-02-21,39.09,1.327,1280.0,4,0
M002,CONVEYOR,2025-02-22,39.43,1.224,1295.4,5,0
M002,CONVEYOR,2025-02-23,37.5,1.721,1305.8,6,0
M002,CONVEYOR,2025-02-24,37.84,1.411,1324.7,7,0
M002,CONVEYOR,2025-02-25,42.71,1.128,1341.1,8,0
M002,CONVEYOR,2025-02-26,39.07,1.377,1358.8,9,0
M002,CONVEYOR,2025-02-27,37.45,1.483,1372.6,10,0
M002,CONVEYOR,2025-02-28,40.44,1.104,1383.4,11,0
M002,CONVEYOR,2025-03-01,42.67,1.264,1396.9,12,0
M002,CONVEYOR,2025-03-02,41.74,1.257,1411.5,13,0
M002,CONVEYOR,2025-03-03,41.43,1.209,1428.7,14,0
M002,CONVEYOR,2025-03-04,45.2,1.07,1438.5,15,0
M002,CONVEYOR,2025-03-05,39.47,1.067,1451.8,16,0
M002,CONVEYOR,2025-03-06,39.16,1.144,1462.8,17,0
M002,CONVEYOR,2025-03-07,37.99,1.046,1469.4,18,0
M002,CONVEYOR,2025-03-08,39.51,1.023,1477.1,19,0
M002,CONVEYOR,2025-03-09,41.97,1.157,1496.3,20,0
M002,CONVEYOR,2025-03-10,39.81,1.211,1508.0,21,0
M002,CONVEYOR,2025-03-11,36.86,1.215,1516.4,22,0
M002,CONVEYOR,2025-03-12,41.11,1.075,1527.3,23,0
M002,CONVEYOR,2025-03-13,37.5,1.314,1540.6,24,0
M002,CONVEYOR,2025-03-14,42.84,1.086,1556.3,25,0
M002,CONVEYOR,2025-03-15,38.9,1.327,1565.5,26,0
M002,CONVEYOR,2025-03-16,39.73,1.425,1577.0,27,0
M002,CONVEYOR,2025-03-17,39.86,1.162,1596.0,28,0
M002,CONVEYOR,2025-03-18,39.65,1.04,1607.2,29,0
M002,CONVEYOR,2025-03-19,39.53,1.22,1620.7,0,0
M002,CONVEYOR,2025-03-20,41.39,0.988,1627.7,1,0
M002,CONVEYOR,2025-03-21,41.81,1.207,1641.7,2,0
M002,CONVEYOR,2025-03-22,41.36,1.569,1651.5,3,0
M002,CONVEYOR,2025-03-23,42.2,1.213,1660.9,4,0
M002,CONVEYOR,2025-03-24,41.64,1.301,1676.7,5,0
M002,CONVEYOR,2025-03-25,40.64,1.074,1685.3,6,0
M002,CONVEYOR,2025-03-26,39.26,1.033,1701.7,7,0
M002,CONVEYOR,2025-03-27,40.84,1.28,1714.8,8,0
M002,CONVEYOR,2025-03-28,41.31,0.821,1722.5,9,0
M002,CONVEYOR,2025-03-29,41.29,1.633,1739.4,10,0
M002,CONVEYOR,2025-03-30,42.37,1.153,1750.9,11,0
M002,CONVEYOR,2025-03-31,40.35,1.282,1757.8,12,0
M002,CONVEYOR,2025-04-01,41.5,1.395,1770.4,13,0
M002,CONVEYOR,2025-04-02,40.73,1.095,1776.8,14,0
M002,CONVEYOR,2025-04-03,39.1,1.425,1794.2,15,0
M002,CONVEYOR,2025-04-04,38.89,1.576,1804.1,16,0
M002,CONVEYOR,2025-04-05,37.1,0.76,1812.4,17,0
M002,CONVEYOR,2025-04-06,42.24,1.462,1822.2,18,0
M002,CONVEYOR,2025-04-07,40.86,1.249,1840.2,19,0
M002,CONVEYOR,2025-04-08,36.95,1.062,1860.0,20,0
M002,CONVEYOR,2025-04-09,42.33,1.014,1876.4,21,0
M002,CONVEYOR,2025-04-10,40.15,1.154,1887.6,22,0
M002,CONVEYOR,2025-04-11,45.03,0.869,1895.8,23,0
M002,CONVEYOR,2025-04-12,43.25,0.704,1902.1,24,0
M002,CONVEYOR,2025-04-13,42.5,1.298,1914.8,25,0
M002,CONVEYOR,2025-04-14,43.28,1.5,1924.3,26,0
M002,CONVEYOR,2025-04-15,39.92,0.914,1931.2,0,0
M002,CONVEYOR,2025-04-16,38.73,1.399,1943.5,1,0
M002,CONVEYOR,2025-04-17,43.93,1.123,1955.1,2,0
M002,CONVEYOR,2025-04-18,36.83,1.352,1970.8,3,0
M002,CONVEYOR,2025-04-19,41.88,1.369,1978.8,4,0
M002,CONVEYOR,2025-04-20,44.8,1.195,1994.7,5,0
M002,CONVEYOR,2025-04-21,40.13,1.044,2013.0,6,0
M002,CONVEYOR,2025-04-22,39.06,1.415,2023.5,7,0
M002,CONVEYOR,2025-04-23,43.6,1.328,2040.8,8,0
M002,CONVEYOR,2025-04-24,40.2,1.145,2060.1,9,0
M002,CONVEYOR,2025-04-25,40.42,1.376,2074.7,10,0
M002,CONVEYOR,2025-04-26,41.4,1.279,2090.7,11,0
M002,CONVEYOR,2025-04-27,42.1,1.093,2097.8,12,0
M002,CONVEYOR,2025-04-28,44.31,1.434,2114.8,13,0
M002,CONVEYOR,2025-04-29,43.37,1.108,2129.1,14,0
M002,CONVEYOR,2025-04-30,37.94,1.094,2146.2,15,0
M002,CONVEYOR,2025-05-01,37.38,1.44,2159.8,16,0
M002,CONVEYOR,2025-05-02,39.65,1.048,2168.8,17,0
M002,CONVEYOR,2025-05-03,39.49,0.866,2187.0,18,0
M002,CONVEYOR,2025-05-04,42.77,1.351,2203.7,19,0
M002,CONVEYOR,2025-05-05,40.45,1.409,2215.9,20,0
M002,CONVEYOR,2025-05-06,42.16,1.192,2234.5,21,0
M002,CONVEYOR,2025-05-07,38.22,0.927,2245.9,22,0
M002,CONVEYOR,2025-05-08,42.75,1.355,2253.7,23,0
M002,CONVEYOR,2025-05-09,43.31,0.892,2268.6,24,0
M002,CONVEYOR,2025-05-10,39.95,1.435,2278.0,25,0
M002,CONVEYOR,2025-05-11,43.08,1.561,2293.3,26,0
M002,CONVEYOR,2025-05-12,39.28,0.976,2312.9,0,0
M002,CONVEYOR,2025-05-13,43.43,1.508,2324.4,1,0
M002,CONVEYOR,2025-05-14,40.87,1.14,2336.6,2,0
M002,CONVEYOR,2025-05-15,35.81,1.251,2354.2,3,0
M002,CONVEYOR,2025-05-16,44.38,0.948,2373.5,4,0
M002,CONVEYOR,2025-05-17,42.81,0.879,2384.5,5,0
M002,CONVEYOR,2025-05-18,42.43,1.182,2401.8,6,0
M002,CONVEYOR,2025-05-19,39.39,1.276,2409.3,7,0
M002,CONVEYOR,2025-05-20,37.53,1.326,2417.9,8,0
M002,CONVEYOR,2025-05-21,40.38,1.021,2433.5,9,0
M002,CONVEYOR,2025-05-22,41.83,1.269,2445.9,10,0
M002,CONVEYOR,2025-05-23,35.76,1.259,2459.3,11,0
M002,CONVEYOR,2025-05-24,38.53,1.301,2468.0,12,0
M002,CONVEYOR,2025-05-25,39.08,1.081,2487.4,13,0
M002,CONVEYOR,2025-05-26,41.74,1.299,2506.7,14,0
M002,CONVEYOR,2025-05-27,40.37,1.233,2523.4,15,0
M002,CONVEYOR,2025-05-28,41.24,1.228,2541.0,16,0
M002,CONVEYOR,2025-05-29,38.46,1.259,2556.2,17,0
M002,CONVEYOR,2025-05-30,36.77,1.386,2574.3,18,0
M002,CONVEYOR,2025-05-31,39.33,1.241,2584.4,19,0
M002,CONVEYOR,2025-06-01,39.51,1.393,2595.0,20,0
M002,CONVEYOR,2025-06-02,41.8,1.172,2613.3,21,0
M002,CONVEYOR,2025-06-03,39.36,1.39,2623.4,22,0
M002,CONVEYOR,2025-06-04,37.44,0.871,2639.1,23,0
M002,CONVEYOR,2025-06-05,38.72,0.935,2648.3,24,0
M002,CONVEYOR,2025-06-06,43.28,1.402,2663.0,25,0
M002,CONVEYOR,2025-06-07,46.28,1.207,2682.3,26,0
M002,CONVEYOR,2025-06-08,39.09,1.196,2693.1,27,0
M002,CONVEYOR,2025-06-09,40.18,0.964,2702.5,28,0
M002,CONVEYOR,2025-06-10,42.77,1.313,2719.9,29,0
M002,CONVEYOR,2025-06-11,40.36,1.564,2737.4,30,0
M002,CONVEYOR,2025-06-12,39.49,1.278,2756.4,31,0
M002,CONVEYOR,2025-06-13,39.81,0.918,2765.1,32,0
M002,CONVEYOR,2025-06-14,36.61,1.18,2775.1,33,0
M002,CONVEYOR,2025-06-15,44.91,1.396,2782.4,34,0
M002,CONVEYOR,2025-06-16,40.63,1.187,2799.9,35,0
M002,CONVEYOR,2025-06-17,38.92,1.303,2810.0,36,0
M002,CONVEYOR,2025-06-18,36.81,1.288,2829.5,0,0
M002,CONVEYOR,2025-06-19,40.95,0.745,2837.1,1,0
M002,CONVEYOR,2025-06-20,42.41,1.277,2855.5,2,0
M002,CONVEYOR,2025-06-21,41.16,1.432,2863.9,3,0
M002,CONVEYOR,2025-06-22,39.45,1.35,2873.2,4,0
M002,CONVEYOR,2025-06-23,42.14,1.017,2891.2,5,0
M002,CONVEYOR,2025-06-24,38.65,1.256,2905.9,6,0
M002,CONVEYOR,2025-06-25,37.72,1.15,2915.2,7,0
M002,CONVEYOR,2025-06-26,39.29,1.291,2922.5,8,0
M002,CONVEYOR,2025-06-27,37.87,1.052,2931.4,9,0
M002,CONVEYOR,2025-06-28,38.89,0.926,2945.7,10,0
M002,CONVEYOR,2025-06-29,41.33,0.89,2961.2,11,0
M003,PRESS,2025-01-01,66.56,3.482,3739.9,17,0
M003,PRESS,2025-01-02,62.01,3.347,3754.9,18,0
M003,PRESS,2025-01-03,62.67,2.594,3764.1,19,0
M003,PRESS,2025-01-04,60.91,3.832,3781.8,20,0
M003,PRESS,2025-01-05,65.78,2.759,3791.6,21,0
M003,PRESS,2025-01-06,66.85,3.847,3802.1,22,0
M003,PRESS,2025-01-07,59.0,2.468,3822.0,23,0
M003,PRESS,2025-01-08,65.39,2.728,3841.4,24,0
M003,PRESS,2025-01-09,70.24,3.278,3849.8,25,0
M003,PRESS,2025-01-10,64.56,2.638,3866.4,26,0
M003,PRESS,2025-01-11,55.66,2.8,3874.1,27,0
M003,PRESS,2025-01-12,65.29,3.312,3891.9,28,0
M003,PRESS,2025-01-13,62.0,3.09,3908.5,0,0
M003,PRESS,2025-01-14,65.62,3.986,3916.7,1,0
M003,PRESS,2025-01-15,63.84,2.837,3927.5,2,0
M003,PRESS,2025-01-16,57.66,3.203,3939.0,3,0
M003,PRESS,2025-01-17,66.46,3.561,3953.0,4,0
M003,PRESS,2025-01-18,65.33,2.96,3964.3,5,0
M003,PRESS,2025-01-19,66.07,3.129,3981.4,6,0
M003,PRESS,2025-01-20,62.81,3.392,3987.7,7,0
M003,PRESS,2025-01-21,67.85,3.048,4001.7,8,0
M003,PRESS,2025-01-22,64.9,3.327,4016.2,9,0
M003,PRESS,2025-01-23,65.04,2.475,4027.8,10,0
M003,PRESS,2025-01-24,62.56,2.925,4034.2,11,0
M003,PRESS,2025-01-25,65.23,3.212,4053.7,12,0
M003,PRESS,2025-01-26,67.9,2.816,4059.7,13,0
M003,PRESS,2025-01-27,71.12,3.488,4067.8,14,0
M003,PRESS,2025-01-28,59.68,3.111,4076.8,15,0
M003,PRESS,2025-01-29,67.58,3.55,4086.9,16,0
M003,PRESS,2025-01-30,62.16,3.342,4095.4,17,0
M003,PRESS,2025-01-31,65.06,2.709,4115.4,18,0
M003,PRESS,2025-02-01,62.07,2.719,4123.8,19,0
M003,PRESS,2025-02-02,54.78,3.374,4131.6,20,0
M003,PRESS,2025-02-03,71.86,2.576,4142.6,21,0
M003,PRESS,2025-02-04,63.38,2.535,4162.1,22,0
M003,PRESS,2025-02-05,64.07,2.581,4179.2,23,0
M003,PRESS,2025-02-06,61.03,3.232,4193.8,24,0
M003,PRESS,2025-02-07,64.94,3.232,4201.4,25,0
M003,PRESS,2025-02-08,69.79,2.937,4208.7,26,0
M003,PRESS,2025-02-09,63.44,3.222,4223.9,27,0
M003,PRESS,2025-02-10,59.51,2.355,4236.3,28,0
